class,precision,recall,f1_score,support
BENIGN,0.9996038848625334,0.9991494728197909,0.9993766271863884,340965
Bot,0.7964285714285714,0.7559322033898305,0.7756521739130435,295
DDoS,0.9998437906795106,0.9998958550302021,0.9998698221770939,19204
DoS GoldenEye,0.9993498049414824,0.9954663212435233,0.9974042829331603,1544
DoS Hulk,0.998701935558312,0.9988748160757047,0.9987883683360258,34661
DoS Slowhttptest,0.9503464203233256,0.9975757575757576,0.9733885274985216,825
DoS slowloris,0.9942528735632183,0.9953970080552359,0.9948246118458884,869
FTP-Patator,1.0,0.9991603694374476,0.999580008399832,1191
Heartbleed,1.0,1.0,1.0,2
Infiltration,0.8,0.8,0.8,5
PortScan,0.9940769166597146,0.9997063635219599,0.9968836927195532,23839
SSH-Patator,1.0,0.9977401129943503,0.998868778280543,885
Web Attack � Brute Force,0.718978102189781,0.8716814159292036,0.788,226
Web Attack � Sql Injection,0.5,0.3333333333333333,0.4,3
Web Attack � XSS,0.5217391304347826,0.24489795918367346,0.3333333333333333,98
